Question,Answer,Label
I am a b.tech final year student from Electrical Engineering . My c.g.p.a is 7.2 Am I get a chance for take admission in NIT or IIT without Gate2020?,"It is not at all possible. If you are from any CFTIs having more than 8 CGPA, then going through screening test and interview you can get into the campus. Otherwise, GATE is the only way for engineers to get a seat in IITs or NITs. Some of the NITs do consider non GATE students by the following criteria- part time, sponsored and self sponsored candidates without stipend.",0
Does ISRO recruits MTech CSE students through IITs?,Opportunities depend upon ISRO Placements conducted by centralised recruitment committee.,0
How do i Revise for GATE ECE branch?,To study Hard,0
My MET score is 312/800. Is there any chance of getting cse in manipal and expected rank.,,0
Is IIT BHILAI a government college?,Yes,0
"When was the college , IIT BHILAI established ?",2016,0
Where is IIT Bhilai located?,"IIT Bhilai is located in Sejbahar, Raipur, Chhattisgarh.",0
What is the placement scenario in IIT Bhilai?,"IIT Bhilai is located in Sejbahar, Raipur, Chhattisgarh.",0
Which is better NIT Raipur or IIT Bhilai?,IIT Bhilai offers quality placements. An average package of 5-7LPA is offered and a maximum o 24 LPA (as of 2021).,0
Does IIT Bhilai have its own campus?,"Both institutes are fairly good, but IIT Bhilai does have certain advantages that make it a better choice. It has good lab facilities, the placements were 90% and various MoUs with state, central and international organizations give students greater exposure thereby making it a better choice.",0
When was IIT BHILAI established?,"No, it has an in-transit campus at GEC, Raipur.",0
Does IIT Bhilai have any student clubs?,Indian Institute of Technology Bhilai [IIT BHILAI] was established in the year 2016.,0
Does IIT Bhilai provide the students with any summer internships?,"Yes. IIT Bhilai has 13 student clubs which are related to the extra-curricular activities. Some of these clubs include: Renaissance Art Club,Drama Club,Space Exploration Society,The Pixel Snappers,Quizzotica,News and Media Club,Epsilon Club,Music Club,Elektromos Club,Developers Student Club",0
What is the total number of annual enrollment of students?,"Yes, IIT Bhilai offers students summer internships. In 2020, the students were placed as interns across the following domains:Private sector,Startups,MNC/Teaching and research,Core technical,Public sector/consulting",0
Can international students take admission in IIT Bhilai?,"Annually, about 250 students enrolled across all the programs offered by the college. ",0
How does the seat allocation take place at IIT Bhilai?,Yes. IIT Bhilai offers admission to international students across various domains in the science streams.,0
What is the faculty strength of Indian Institute of Technology Bhilai?,JoSAA is the authority which declares the cut-off and allocates the seats to the qualifying students. Special seats are reserved for the females and reserved category students. ,0
 How many courses are offered by IIT Bhilai?,IIT Bhilai has a total of 45 faculty members.,0
Does IIT Bhilai has collaborations with institutions?,"The college offers a total of 19 courses at UG, PG and doctoral levels. ",0
Where are IIT Bhilai’s headquarters?,"Yes, the college has collaborations with institutes such as IIT Kanpur, Pt. Ravishankar Shukla University on Academic and Research Cooperation etc.",0
What is IIT Bhilai’s phone number?,"IIT Bhilai’s headquarters are in Sejbahar, Raipur, Chhattisgarh, 492015, India",0
What is IIT Bhilai’s official website?,IIT Bhilai’s phone number is +91 7712973622,0
What is IIT Bhilai’s Revenue?,IIT Bhilai’s official website is www.iitbhilai.ac.in,0
What is IIT Bhilai’s SIC code?,IIT Bhilai’s revenue is $84 Million,0
What is IIT Bhilai’s NAICS code?,"IIT Bhilai’s SIC: 82,822",0
What is IIT Bhilai's tech stack?,"IIT Bhilai’s NAICS: 61,611",0
What is the fees for BTech offered at IIT Bhilai?,"The technologies that are used by IIT Bhilai are: Epsilon, Cisco Webex, CentOS, OpenSSL",0
What is the selection criteria for MSc offered at IIT Bhilai?,"IIT Bhilai offers a four-year UG degree course. The total fee for all the eight semesters for BTech is INR 13.19 lakh. It includes components such as admission fee, tuition fee, hostel and mess charges, etc. along with the deposit of one time refundable fee of INR 7,000.",0
What are the courses offered at IIT Bhilai?,The institute shortlists candidates for MSc based on the JAM entrance score.,0
What is the fee for MSc course at IIT Bhilai?,"The institute offers total four courses under UG, PG and doctoral degrees, including BTech, BArch, MTech, MSc and PhD in the fields of Engineering and Science",0
What are the specialisations available in the PhD degree course offered at IIT Bhilai?,"The total fee for all four semesters of MSc is NR 3.57 lakh including the admission fee, tuition fee, hostel and mess charges, etc.  ",0
What is the mode of application for IIT Bhilai admission?," IIT Bhilai offers PhD in ten specialisations, namely Chemistry, Computer Science and Engineering, Data Science and Artificial Intelligence, Electrical Engineering, Electric Vehicle Technology, Liberal arts, Mathematics, Mechanical Engineering, Mechatronics and Physics by the college.",0
How many specialisations are offered for BTech at IIT Bhilai?,"The mode of application is online for IIT Kharagpur admission. For a majority of the courses, students are required to apply via the official websites of the required entrance exams, i.e, JEE Mains, JEE Advanced, JAM, GATE, etc.",0
"What are the qualifying entrance exams to get admission for M.Tech. at IIT, Bhilai?","IIT Bhilai offers BTech course in four popular specialisations. These are Computer Science and Engineering, Electrical Engineering, Mechanical Engineering, and Data Science and Artificial Intelligence.",0
What is the age limit to pursue a Ph.D. from IIT Bhilai?,"For M.Tech. admission at IIT Bhilai, the institute accepts only GATE scores.",0
Is IIT Bhilai entirely residential?,"There is no upper age limit to pursuing a Ph.D. from IIT Bhilai. However, the candidate should satisfy all the eligibility criteria.",0
should I take ism dhanbad mineral engineering or iit tirupati electrical or iit bhilai electrical engineering,"IIT Bhilai is a fully residential campus, which means that every student should live on campus.",0
what to choose between iit bhilai electrical and mnit jaipur cse?,as far as branch is considered engineering physics will be one of the most sought branch in coming years.,0
Why IIT Bhilai is a good institute to study at?,"A good institute is the one that meets expectations of its diverse students. Faculty, peers, curriculum and infrastructure are some of the important constituents of an institute. IIT Bhilai has a very talented pool of faculty who are accessible in the classrooms as well as outside the classroom. IIT Bhilai follows a fractal system of academic courses. The fractal system of academics facilitates wider choices of electives for building breadth as well as depth, offers flexibility, fosters modern interdisciplinary education, and encourages research early in the program. The ever enthusiastic peers and seniors are there playing role of mentors in academic and non-academic life.",0
 Why should one study at an IIT?,"IIT's curriculum is different from most of the country's 10000+ engineering institutions, and is broad based to prepare students for leadership roles whatever career track they choose. Besides engineering, students are also exposed to the Creative Art and Liberal Art (CALA) courses apart from being able to participate in a variety of extra-curricular activities. CALA course offerings include Performing Arts, painting and sketching, finance, economics among many others.,0
,0
The curriculum is divided institute core (IC), professional core (PC), departmental electives (PE) and open electives (OE). IC and PC courses build the base whilestudents create their very own set of courses from DE and OE courses to extend the base. Details are available here,0
,0
IIT Bhilai is presently in its transit campus in Raipur which is the capital of Chhattisgarh. The permanent campus of IIT Bhilai is expected to come up in next two to three years at Bhilai in Durg district of Chhattisgarh. This campus is adjacent to one of the largest steel plant of India – Bhilai Steel Plant, under Steel Authority of India Ltd. (SAIL).",0
"About courses, fees, faculty, future package/prospects, extra curricular","(Disclaimer: Please note that getting admission to an IIT would depend on your rank, choice filling and seat allocation. Making enquires does not guarantee admission. Please note that the final decision of choices is yours.),0
,0
Regarding advice on which branch you are eligible for, which IIT you are eligible for etc.: You should fill in the choices that interest you the most according to your eligibility. You are encouraged to fill in a large number of choices for different branches in many IITs in the order of your preference.",0
Best department?,You may collect information about curriculum of each discipline/branch from the websites of various IITs. You may also talk to your school seniors who are already studying in IITs. You should make your decision based on information so collected and your own interest.,0
Best department for getting jobs?,"There are two parts to this question. All departments are good if you are passionate about it and learn well. Your priority may change once you join an IIT and may opt for other options such as further education, starting your own venture.",0
Chances for getting into the best department?,"Depends on JEE Rank, choices, different IITs – all IITs give a good education.",0
" Can I cope with branches like Mechanical, Electrical, or Civil Engineering?","Absolutely; if you put in hard work, you can cope in any branch. Every branch has plenty of scope for women to succeed and flourish. There are girls in every branch across IITs.",0
Are the classes in Hindi or English? Will it affect my studies if my English is not good?,"The classes will be conducted in English, although teachers usually conduct classes in mixed language - English and Hindi. We recognize that some of you may not be very comfortable with English. There are courses that run specifically for helping students improve their English in IIT Bhilai and almost all IITs.",0
What will be the courses in first semester of B.Tech.?,First year courses are common to all BTech students that include build languages of various disciplines and other fundamental courses.,0
 Is there a possibility to change the branch? What is the process and requirement for the same?,Depends on your performance in the first year; less than 10% get to change their branch. Process is advertised at the end of the first year.,0
Is there any scholarship or fellowship granted by IIT Bhilai?,"MCM (means cum merit) scholarships are granted to needy students. Many banks provide loans to students. Under Vidya Luxmi scheme of the government, IIT Bhilai pays a part of the interest.",0
What are the extra-curricular activities and clubs available?,"Dramatics, Robotics, Literary, Debating, Music and many others. NSS, Sports and many other opportunities to participate in extra-curricular activities, to develop leadership qualities, hone skills etc. There are various student festivals including academic festivals.",0
How many female students are there usually in B.Tech.?,"BTech programs have around 10% girls. We would like the number and proportion to go up, hence the supernumerary seats.",0
How many female faculty members are there in the Institute?,Around 10%.,0
Future package in each branch?,"Any branch can yield a good job provided you do well; you can also go for higher studies in IIT, elsewhere in India, or abroad.",0
Are there women/girls only hostels? How many? How many stay in one room? How do we access the hostel facilities?,There are two girls hostel situated near the faculty residential area. In the first year 3 girls are accommodated in a room. Later they get single rooms.,0
"What facilities are provided to the new students for the purchase of hostel necessities like mattresses, pillows, buckets etc.? Do we need to bring these things along with us?","At the time when the session starts in July, there are many shops/stalls set up near the hostels which sell these things. So these can be easily purchased on campus.",0
Are there curfew timings? What are the other facilities in the hostels?,"There is no curfew on students residing in the two girls’ hostels. Students going out of the hostel after 10 pm are usually requested by the women security guards to enter their potential whereabouts in the register. They are free to go in and out of the hostel throughout the day and night.,0
,0
Regarding facilities in the hostels, apart from reading rooms, sports facilities, gym, dining facility, laundry, and common room. There is also a night canteen.",0
Is it necessary to live in the hostel or can we be day scholars?,IIT Bhilai is a fully residential campus and every student necessarily lives on the campus. Living in the hostel helps students to organize activities after regular office hours and participate in campus activities for all-round development.,0
Do boys visit the girls’ hostels?,"Yes, boys and girls can visit each others’ hostels at designated times and in designated spaces.",0
Who is the warden and do they stay in the hostels?,"Each hostel has a warden. They may or may not stay on the hostel premises; if they do not, they are always available over phone and they visit hostels regularly.",0
What kind of support is available to students?,"There is a full time professional counsellors to help the students who seek assistance on a range of issues to deal with problems in their lives.,0
,0
The Institute also has a zero tolerance towards sexual harassment and a comprehensive policy has been formulated to confidentially act on any complaints.,0
,0
IIT Bhilai has a very strong mentorship program. A faculty member and a senior student become your mentor for the entire duration of the program.",0
"If unwell, are there doctors on campus?","There is a primary health care facility on campus. Every day, a doctor is available in the morning hours. Lady doctor visits on alternate days. One female and one male staff nurses are available 24*7. An ambulance is also available 24*7. AIIMS Raipur and many other hospitals are nearby. The parents are also contacted if needed.",0
 Can the students access their teachers or seniors if needed?,"Yes, they can. IIT Bhilai has an open door policy. Students interact with faculty members and office bearers freely.",0
Do we have to buy books we study here?,"You can get text books from the library, though the library may have only limited copies. Some students like to possess books they study while others like to manage. Choice is really yours.",0
Is it safe for the female students in the campus? What are the safety measures?,"Faculty members and Director reside on the campus itself and they are available for assistance. Our campus security is here for 24*7 support. Senior students also support the new students to get acquainted with the city and campus life - through the Mentorship program. If you want to raise a complaint, you will be supported too. We also have an Anti-ragging unit for support in campus.",0
Is Raipur safe for women?,"Raipur is capital of Chhattisgarh. If you search for the question above on the Internet, you get a sense that it is safe. In rare case, if you feel unsafe, ask for help. Do not keep it to yourself. It's important to remember it's never your fault that you have been subjected to inappropriate behavior. So we should voice it out, share with others, call out for help.",0
Which IIT is the best?,"This is absolutely your choice. Every IIT is a premier institution providing an enriching learning experience. IITs prepare you to take on all challenges.,0
,0
If you join a new IIT, you will be helping build an institution while benefiting from the IIT brand and a sound education. All IITs have equally well-qualified faculty; the facilities are evolving continuously.",0
Holiday schedule,"We have a holiday list and an academic calendar that highlights the monthly holidays, semester breaks and long vacation like one in summer and winter. The calendar is available on the website of the Institute.",0
Is there ragging? Is there a policy against it?,There is a policy against ragging and every students signs a letter to the effect that they will not participate in ragging. Everybody is vigilant to prevent any attempt of ragging. A reported case of ragging is dealt with strictly.,0
What is the process for seat allocation?,"From this year, we have the supernumerary calculations (one can read more on visit the JoSAA website",0
What is the fee structure? What are the options for fee payment? How much and at what intervals?,See Fee Structure,0
How do I get LDAP ID and Email ID?,User must submit the filled application form duly approved by the concerned approving authority. The user will receive the ID with credentials at email address mentioned in the Form. The form can be downloaded (Click here to download form) or can be issued from Computer Centre.,0
How do I change my LDAP password?,"To change the password please go the WiFi Portal (Click Here) of IIT Bhilai. Follow the steps mentioned over there.,0
Password Creation Guidelines:,0
,0
Minimum length: 8,0
Minimum number of uppercase characters: 1,0
Minimum number of digits: 1,0
Minimum number of special characters: 1,0
Your new password may not be the same as your old password,0
Your new password may not be the same as your login",0
How do I connect IIT Bhilai network and internet?,Please follow the instruction mentioned in the document to get the internet access at IIT Bhilai ( Click Here),0
How to report an issue related to IT Services?,"If you are facing any issue related to ITIS, you may lodge the complaint by mailing us at itis@iitbhilai.ac.in or itsupport@iitbhilai.ac.in. You may also reach us at computer centre Monday to Friday (9 AM – 5:30 PM).,0
Note: In case of emergency you may also contact us.",0
Who are the contact persons for IT services problem?,You may click here to get the contact details.,0
